id,question,module,question_type,guard1_on_rating,guard1_off_rating,notes
HQ001,What is a variable in programming?,Module 2,Conceptual,,,
HQ002,What is a for loop?,Module 4,Conceptual,,,
HQ003,What is a method?,Module 5,Conceptual,,,
HQ004,What is a class?,Module 6,Conceptual,,,
HQ005,What is an array?,Module 7,Conceptual,,,
HQ006,What is a constructor?,Module 6,Conceptual,,,
HQ007,What is the difference between int and double?,Module 2,Conceptual,,,
HQ008,What is a boolean expression?,Module 3,Conceptual,,,
HQ009,What is linear search?,Module 8,Conceptual,,,
HQ010,What is binary search?,Module 8,Conceptual,,,
HQ011,How do I print something to the console in C#?,Module 1,How-to,,,
HQ012,How do I read a number from the user?,Module 2,How-to,,,
HQ013,How do I check if a number is even or odd?,Module 4,How-to,,,
HQ014,How do I write an if-else statement?,Module 3,How-to,,,
HQ015,How do I loop through every element in an array?,Module 7,How-to,,,
HQ016,How do I return a value from a method?,Module 5,How-to,,,
HQ017,How do I create an object from a class?,Module 6,How-to,,,
HQ018,How do I declare an array of 10 integers?,Module 7,How-to,,,
HQ019,How do I write a method that takes two parameters?,Module 5,How-to,,,
HQ020,How do I use a switch statement?,Module 3,How-to,,,
HQ021,Why does my while loop run forever?,Module 4,Debug,,,
HQ022,What is wrong if my program says index out of range?,Module 7,Debug,,,
HQ023,Why do I get a compile error when I forget a semicolon?,Module 1,Debug,,,
HQ024,Why is my if statement not working?,Module 3,Debug,,,
HQ025,Why does int.Parse fail when I type a word?,Module 2,Debug,,,
HQ026,What is the difference between while and for loops?,Module 4,Comparison,,,
HQ027,What is the difference between a method and a class?,Module 5/6,Comparison,,,
HQ028,What is the difference between public and private?,Module 6,Comparison,,,
HQ029,What is the difference between linear and binary search?,Module 8,Comparison,,,
HQ030,What is the difference between Console.Write and Console.WriteLine?,Module 1,Comparison,,,
HQ031,I need to write a program that prints even numbers between 50 and 100. What kind of loop should I use?,Module 4,Lab scenario,,,
HQ032,How do I calculate weekly pay including overtime at time and a half?,Module 3,Lab scenario,,,
HQ033,How do I write a class Rectangle with height and width and a method that calculates area?,Module 6,Lab scenario,,,
HQ034,I need to store student grades in a list and find the average. What should I use?,Module 7,Lab scenario,,,
HQ035,How do I search an array for a specific value?,Module 8,Lab scenario,,,
HQ036,How do I write a method that returns the minimum of three numbers?,Module 5,Lab scenario,,,
HQ037,How do I use a for loop to add up all numbers from 1 to 100?,Module 4,Lab scenario,,,
HQ038,How do I implement a grading system using if-else to convert a numeric score to a letter grade?,Module 3,Lab scenario,,,
HQ039,How do I write a program that counts down from 10 to 1?,Module 4,Lab scenario,,,
HQ040,"How do I create a Circle class with a radius, area, and perimeter method?",Module 6,Lab scenario,,,
HQ041,Can I have a method inside another method in C#?,Module 5,Edge case,,,
HQ042,What happens if I declare a variable but never assign a value to it?,Module 2,Edge case,,,
HQ043,Can an array hold both integers and strings?,Module 7,Edge case,,,
HQ044,What happens if I use break outside a loop or switch?,Module 3/4,Edge case,,,
HQ045,Can a constructor return a value?,Module 6,Edge case,,,
HQ046,What is the default value of an int in C#?,Module 2,Edge case,,,
HQ047,Can I have two methods with the same name in the same class?,Module 5,Edge case,,,
HQ048,What happens if the condition of a while loop is never false?,Module 4,Edge case,,,
HQ049,Can I use a for loop without an increment step?,Module 4,Edge case,,,
HQ050,What does Array.Length return for an empty array?,Module 7,Edge case,,,
HQ051,What is decomposition in computational thinking?,CSE1300 - A1,Conceptual,,,
HQ052,What is abstraction and can you give an example?,CSE1300 - A1,Conceptual,,,
HQ053,How do you write a step-by-step algorithm for logging into a system?,CSE1300 - A1,How-to,,,
HQ054,What is the difference between data and information?,CSE1300 - A3,Conceptual,,,
HQ055,How do you write a CREATE TABLE SQL statement?,CSE1300 - A3,How-to,,,
HQ056,What is a primary key and why is it important?,CSE1300 - A3,Conceptual,,,
HQ057,How do you write a SELECT query to get all rows from a table?,CSE1300 - A3,How-to,,,
HQ058,What is the difference between a relational and NoSQL database?,CSE1300 - A3,Comparison,,,
HQ059,How do you write a for loop in Python?,CSE1300 - A4,How-to,,,
HQ060,How do you check if a score is passing in Python using if-else?,CSE1300 - A4,How-to,,,
